S.ID,r01,r12,r23,r3x,r02,r13,r2x,C0r1,C0,C1,C2,C3,C4r1,C4,C5,C5m,C6r1,C6r2,C6,C6m,Pattern,Edit,Origin,V.ID,V.freq
s224,0.08,0.4,0.31,0.22,0.48,0.71,0.52,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p1,s,o30,v831,831
s225,0.22,0.49,0.18,0.11,0.71,0.67,0.29,A,A,A,A,A,A,A,A,A,X,X,X,X,p4,s,o16,v345,345
s226,0.02,0.13,0.37,0.47,0.16,0.51,0.84,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p1,v,o33,v958,958
s227,0.02,0.3,0.31,0.36,0.33,0.62,0.67,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,n,o10,v145,145
s228,0.02,0.24,0.28,0.46,0.26,0.52,0.74,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,s,o10,v145,145
s229,0.6,0.26,0.1,0.04,0.86,0.36,0.14,A,A,A,A,A,A,A,A,A,A,A,A,A,p5,v,o31,v958,958
s230,0.01,0.11,0.36,0.52,0.12,0.47,0.88,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p2,v,o08,v111,111
s231,0.74,0.16,0.07,0.03,0.9,0.23,0.1,A,A,A,A,A,A,A,A,A,A,A,A,A,p5,o,o23,v470,470
s232,0.15,0.44,0.24,0.17,0.59,0.68,0.41,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p1,p,o30,v831,831
s233,0.35,0.37,0.16,0.13,0.72,0.53,0.28,A,A,A,A,A,A,A,A,A,X,X,X,X,p3,v,o29,v831,831
s234,0.02,0.15,0.34,0.49,0.17,0.49,0.83,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,s,o19,v450,450
s235,0.08,0.5,0.32,0.11,0.57,0.81,0.43,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p5,v,o24,v713,713
s236,0.04,0.12,0.33,0.5,0.17,0.45,0.83,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,v,o19,v450,450
s237,0.66,0.26,0.05,0.04,0.92,0.31,0.08,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,n,o16,v345,345
s238,0.18,0.33,0.23,0.26,0.51,0.56,0.49,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p2,p,o08,v111,111
s239,0.06,0.24,0.36,0.34,0.3,0.6,0.7,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,Y,Y,X,X,p2,v,o21,v470,470
s240,0.07,0.26,0.31,0.36,0.33,0.57,0.67,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p1,s,o14,v210,210
s241,0.17,0.32,0.19,0.32,0.49,0.51,0.51,UNA,UNA,UNA,UNA,UNA,X,X,UNA,X,UNA,X,UNA,X,p2,n,o21,v470,470
s242,0.06,0.16,0.25,0.52,0.23,0.41,0.77,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p5,v,o23,v470,470
s243,0.07,0.22,0.39,0.32,0.3,0.61,0.7,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,Y,Y,X,X,p3,v,o05,v25,25
s244,0.41,0.42,0.13,0.04,0.83,0.55,0.17,A,A,A,A,A,A,A,A,A,X,X,X,X,p1,n,o01,v18,18
s245,0.77,0.16,0.05,0.02,0.93,0.21,0.07,A,A,A,A,A,A,A,A,A,A,A,A,A,p3,o,o26,v807,807
s246,0.88,0.09,0.01,0.02,0.97,0.1,0.03,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,o,o27,v807,807
s247,0.04,0.18,0.34,0.44,0.22,0.53,0.78,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p3,n,o13,v210,210
